attack.emit_force;vyslaní síly
attack.backstab;úder do zad
attack.bite;kousnutí
attack.bleed;krvácení
attack.blind;oslepnutí
attack.blinding_sunshine;oslepující sluneční záře
attack.brainstorm;brainstorm
attack.concentrate_force;koncentrovat sílu
attack.crushing_blow;drtící úder
attack.dark_orb;těleso temna
attack.dark_strorm;bouře temna
attack.demon_orb;těleso démona
attack.destructive_orb;zničující těleso
attack.destructive_shoot;destruktivní střela
attack.destructive_storm;bouře destrukce
attack.double_shoot;dvojšíp
attack.fear;strach
attack.feeble_attack;slabý útok
attack.hawk_shoot;jestřábí střela
attack.hit;úder
attack.chaos_orb;těleso chaosu
attack.lightning_spear;oštěp blesků
attack.magic_orb;magické těleso
attack.magic_spear;magický oštěp
attack.mindfuck;mindfuck
attack.miraculous_force;zázračná síla
attack.orb;těleso
attack.poison_bite;kousnutí jedu
attack.poison_mist;toxická mlha
attack.repeating_shoot;opakovací střela
attack.scraps_of_life;střípky života
attack.scream;vřískot
attack.shoot;střela
attack.silence;ztišení
attack.slash;sekunutí
attack.strike;rána
attack.sunlight_spear;oštšěp slunečního světla
attack.thrust;bodnutí
attack.thunderstorm;bouře
attack.weaken;oslabení
enemies.bandit;bandita
enemies.basilisk;bazilišek
enemies.bastard;bastard
enemies.bear;medvěd
enemies.blind_wanderer;slepý tulák
enemies.cat;kočka
enemies.dark_dwarf;temný trpaslík
enemies.dark_elf;temný elf
enemies.dark_mole;temný krtek
enemies.dog;pes
enemies.dwarf;trpaslík
enemies.eagle;orel
enemies.enraged_man;rozzuřený chasník
enemies.gargoyle;gargojl
enemies.ghoul;ghûl
enemies.giant_frog;obří ropucha
enemies.great_mosquito;přerostlý komár
enemies.hydra;hydra
enemies.chamois;kamzík
enemies.chopped_tree;sťatý strom
enemies.infantryman;pěšák
enemies.lion;lev
enemies.little_child;malé dítko
enemies.lost_miner;zbloudilý horník
enemies.lumberjack;dřevorubec
enemies.mastodon;mamut
enemies.old_mercenary;vysloužilý žoldák
enemies.peasant;sedlák
enemies.shadow_mist;mlha stínů
enemies.shadowlurker;děsivý stín
enemies.sheep;ovce
enemies.skeleton_archer;kostlivec lučištník
enemies.skeleton_warrior;kostlivec válečník
enemies.snake;had
enemies.stone_warrior;kamenný válečník
enemies.street_toad;pouliční bídák
enemies.thief;zloděj
enemies.tiger;tygr
enemies.trained_bruiser;zdatný rváč
enemies.turtle;želva
enemies.vampire;upír
enemies.wolf;vlk
enemies.zombie;nemrtvý
hero.class.ranger;lovec
hero.class.sorcerer;mág
hero.class.warrior;válečník
innkeeper.tavern.gwen;Gwen
item.merchandise.consumable.drink.beer;pivo
item.merchandise.consumable.drink.bottle_of_beer;láhev piva
item.merchandise.consumable.drink.bottle_of_cider;láhev moštu
item.merchandise.consumable.drink.bottle_of_mead;láhev medoviny
item.merchandise.consumable.drink.bottle_of_spirits;láhev spiritusu
item.merchandise.consumable.drink.bottle_of_watter;láhev vody
item.merchandise.consumable.drink.bottle_of_wine;láhev vína
item.merchandise.consumable.drink.mead;medovina
item.merchandise.consumable.drink.water;voda
item.merchandise.consumable.drink.wine;víno
item.merchandise.consumable.food.apple;jablko
item.merchandise.consumable.food.beef_goulash;hovězí guláš
item.merchandise.consumable.food.braised_duck_and_rice;dušená kachna s rýží
item.merchandise.consumable.food.bread;chléb
item.merchandise.consumable.food.carrot;mrkev
item.merchandise.consumable.food.dried_meat;sušené maso
item.merchandise.consumable.food.fresh_bread_witch_cheese;čerstvý chléb se sýrem
item.merchandise.consumable.food.grilled_chicken_with_mashed_potatoes;grilované kuře s rozmačkanými bramborami
item.merchandise.consumable.food.cheese;sýr
item.merchandise.consumable.food.chicken_ragout;kuřecí ragů
item.merchandise.consumable.food.nuts;ořechy
item.merchandise.consumable.food.roasted_pig;pečené kuře
item.merchandise.weapon.melee.bastard_sword;bastardský meč
item.merchandise.weapon.melee.claymore;skotský meč
item.merchandise.weapon.melee.club;kyj
item.merchandise.weapon.melee.dagger;dýka
item.merchandise.weapon.melee.dirk;skotská dýka
item.merchandise.weapon.melee.flail;řemdih
item.merchandise.weapon.melee.flamberge;flamberge
item.merchandise.weapon.melee.greatsword;jednoapůlruční meč
item.merchandise.weapon.melee.katana;katana
item.merchandise.weapon.melee.long_sword;dlouhý meč
item.merchandise.weapon.melee.mace;palcát
item.merchandise.weapon.melee.morning_star;kropáč
item.merchandise.weapon.melee.scimitar;mačeta
item.merchandise.weapon.melee.short_sword;krátký meč
item.merchandise.weapon.melee.spiked_club;okovaný kyj
item.merchandise.weapon.melee.sword;meč
item.merchandise.weapon.melee.zweihander;dvouruční meč
item.merchandise.weapon.ranged.bow;luk
item.merchandise.weapon.ranged.combat_bow;bojový luk
item.merchandise.weapon.ranged.composite_bow;kladkový luk
item.merchandise.weapon.ranged.greatbow;luk obrů
item.merchandise.weapon.ranged.heavy_crossbow;těžká kus
item.merchandise.weapon.ranged.hunters_bow;lovecký luk
item.merchandise.weapon.ranged.light_crossbow;lehká kuš
item.merchandise.weapon.ranged.long_bow;dlouhý luk
item.merchandise.weapon.ranged.repeating_crossbow;opakovací kuš
item.merchandise.weapon.ranged.shadow_bow;luk stínů
item.merchandise.weapon.ranged.short_bow;kráktý luk
item.merchandise.weapon.ranged.war_bow;válečný luk
item.merchandise.weapon.wand.demons_staff;hůl démonů
item.merchandise.weapon.wand.enhanced_wand;kouzelná hůlka
item.merchandise.weapon.wand.magic_talisman;magický talisman
item.merchandise.weapon.wand.staff;hůl
item.merchandise.weapon.wand.staff_of_darkness;hůl temnoty
item.merchandise.weapon.wand.staff_of_destruction;hůl destrukce
item.merchandise.weapon.wand.staff_of_power;hůl moci
item.merchandise.weapon.wand.staff_of_wisdom;hůl moudrosti
item.merchandise.weapon.wand.sun_staff;hůl slunce
item.merchandise.weapon.wand.talisman_of_knowledge;talisman moudrosti
item.merchandise.weapon.wand.talisman_of_lightning;talisman bouře
item.merchandise.weapon.wand.wand;hůlka
item.weapon.flower;kytka
textUi.AbstractLocationUi.where;Kam bys chtěl jít?
textUi.AbstractLocationUi.you_hit;Tupče! Narazils do zdi, tudy cesta rozhodně nevede. Teď krvácíš.
textUi.AbstractUi.fled;Tento svět byl pro tohoto sraba moc drsný, proto utekl za maminkou
textUi.AbstractUi.flee;zbaběle utéct
textUi.ArenaUi.back;Odejít
textUi.ArenaUi.entered_tournament;Vítej, poutníku. Musíš mít odvahu. Jak jinak vysvětlit, že se pouštíš do takového nebezpečí. Nebo jsi možná pouhý blázen
textUi.ArenaUi.sign_up;Zapsat se k turnaji
textUi.ArenaUi.tournament_selection;Kterého turnaje by ses rád zůčastnil?
textUi.ArenaUi.tournament0;Všichni jdou až na krev
textUi.ArenaUi.tournament1;Lovec se stává kořistí
textUi.ArenaUi.tournament2;Připrav se zmoknout
textUi.ArenaUi.welcome;Vítej v aréně
textUi.AttacksUi.close;Zavřít
